parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0
705.1274,11.825611,896.72034,18710.316,-165.05194,15692.102,2.1216705,120.88485,0.294715,0.37699133,0.5247324,0.079341814,0.0035658905,0.00030031227,0.0023193953,0.0009083418,6.826717e-05,176.89412,33.62907,232.95453,33.23561,0.8540548,70.672966,60.063816,58.535378,0.0028986768,89.119125,1.0383021,4.1377416,-0.0067029735
308.18866,10.464521,1256.8936,36803.61,152.89473,9444.028,1.9073676,108.09429,0.34321412,0.37595844,0.39112914,0.070078,0.004071742,0.00022319963,0.0039046966,0.00037631358,-1.5687863e-05,181.10042,55.91152,249.40599,17.442968,0.8903343,63.181263,51.896286,56.727535,0.004248928,84.75237,0.8002171,5.370341,0.101616204
367.8089,10.114901,1354.3005,26703.729,-19.14798,28970.873,2.334321,108.64818,0.35851717,0.32804066,0.48050535,0.06837029,0.005067335,0.00015944659,0.0034940087,-0.00026095659,-6.342475e-05,203.37485,39.43338,255.55319,5.1565895,0.8251794,62.55878,55.22481,55.966194,0.0029752688,80.77847,1.8378538,4.856803,0.15934685
133.90129,9.939261,1047.0085,27817.418,264.72818,21081.125,2.2448318,99.23151,0.2890403,0.3947407,0.54490805,0.07327172,0.0055488157,0.00027878367,0.0025966114,0.0013803027,5.7267298e-05,168.72905,29.93435,272.4639,27.147654,0.87490124,68.8264,52.065647,39.417828,0.0033362275,70.13795,0.8646886,7.73698,-0.005619113
368.5958,9.0659075,1195.0347,20252.838,-205.99026,23206.955,1.1350397,123.06004,0.36488697,0.30685556,0.48248228,0.067522764,0.004764431,0.0003205458,0.0026989088,0.00043177666,0.00013360441,162.0874,33.929737,246.52069,43.801205,0.84687746,57.89099,67.78414,39.494183,0.0009206054,81.14886,0.9161995,5.3965907,0.10363932
425.31204,9.960592,1195.2283,32988.02,-133.07823,50174.176,2.221256,103.02373,0.41767582,0.35467717,0.5511848,0.07320174,0.0024421872,0.0002949235,0.0041774567,-0.0010044875,-6.8026166e-06,177.42772,42.73132,234.8517,31.51863,0.8128999,68.31973,59.96791,42.722645,0.0029280346,89.75024,0.5759182,6.9709234,0.15897532
674.8233,10.919994,1115.5819,20151.383,-173.3143,20621.377,1.0949712,122.83869,0.39279026,0.3187956,0.57705855,0.06719112,0.0044680825,0.00011926843,0.0025737917,0.0008795168,-0.00010976594,158.82414,38.21461,241.12094,52.444473,0.90040576,60.13464,48.179348,51.64159,0.0013955393,86.19246,0.376916,6.0649514,-0.02001121
193.07175,10.546712,1034.3308,11181.152,170.45421,12777.593,1.7030911,117.886154,0.30181763,0.2694585,0.5521667,0.07334098,0.0045735384,0.00029224725,0.0032727271,0.00072876015,-4.120582e-06,168.79155,44.5083,233.89932,1.7515963,0.90970576,45.71564,58.57503,43.032753,0.0026428746,84.986305,1.2649915,5.2931914,0.19933805
273.1112,9.299519,1190.36,24379.04,75.98015,27594.324,1.2050558,115.72256,0.3387461,0.34711486,0.45671576,0.075336866,0.0046642083,0.00023718766,0.0019631064,-0.00069603126,-8.0076825e-05,161.57854,30.560144,267.223,44.89296,0.8090956,66.38693,66.09971,39.080376,0.0017219376,71.40025,0.0704794,5.2171116,0.17072043
609.0636,10.086345,1384.5358,19314.61,-153.15187,20897.393,1.7806103,122.10453,0.37534782,0.31375498,0.4907946,0.071481526,0.0040099495,0.00023282006,0.0023423443,-0.0009261192,5.4824694e-05,161.99886,51.363987,253.64412,24.123987,0.82819134,57.240364,66.15513,53.909252,0.002356867,65.18307,1.5256025,6.2310014,0.1260494
