like1,parclab,parcf,parcr,parcw,parcl,parcs,parclspan,parlma,parf_auto,parf_fol,parf_lab,parTheta,partheta_min,partheta_woo,partheta_roo,partheta_lit,partheta_som,pard_onset,parcronset,pard_fall,parcrfall,parCI,parlidf,parcab,parRUB,parRdsc,parCB6F,pargm,parBallBerrySlope,parBallBerry0,chain
0.9986509,341.58795,10.23405,1493.7174,11663.073,174.25359,22013.682,2.230884,128.29126,0.3930575,0.3180601,0.5910697,0.07173693,0.003589711,0.00014025065,0.002830348,0.0005178537,0.00013798416,184.33345,53.709324,288.26022,37.17122,0.8188445,57.4681,67.234886,44.779087,0.0042385906,88.58013,1.5247228,7.611447,-0.045149032,0.0
0.8178029,720.61597,9.878803,1161.064,12092.222,-210.14426,24738.787,1.6172072,111.20615,0.40121752,0.38087252,0.5060819,0.06406329,0.0033233976,0.00026534923,0.00382434,0.00055059756,0.0001435045,180.64828,39.729626,261.8371,33.82972,0.85859644,51.7161,50.14446,68.231964,0.0026470956,81.15201,1.0588732,3.4737992,0.07296785,0.0
0.43826723,286.2775,8.928488,1233.2672,36035.137,98.8457,15466.206,1.1769023,123.297485,0.358428,0.37763938,0.5385245,0.067094795,0.0041177403,0.0002000811,0.003982919,0.00049463334,3.1704749e-06,158.02913,41.356926,211.2435,-3.6681094,0.89427435,59.140343,53.87808,54.469055,0.0020508873,75.81627,1.1711037,4.3350782,0.2132933,0.0
0.9946972,-10.404509,10.560223,1048.0599,14053.232,-80.99374,22624.844,1.1844752,127.897934,0.35916656,0.32575104,0.5011547,0.07078933,0.004413723,0.00017699241,0.003551004,-0.00044749578,0.000108982495,167.86873,45.459366,251.3114,4.986142,0.86792773,64.6261,55.657158,32.151775,0.0028369853,80.91933,0.853776,3.1937494,0.054285176,0.0
inf,427.0363,11.302186,1263.0242,29347.041,267.32803,16080.306,0.2679725,113.90042,0.31021476,0.34730935,0.5429582,0.06529419,0.0031133343,0.00026922088,0.0014754474,0.0005977696,0.00026283893,152.2923,45.544903,286.01364,18.015324,0.90906155,68.39492,52.985653,60.708866,0.00252199,58.956474,1.489606,7.3491526,-0.041651316,0.0
0.97156185,748.71814,10.1938925,1350.9115,17175.84,165.29465,26446.992,1.474347,121.43951,0.35683545,0.27967253,0.5144192,0.07624237,0.003175626,0.0003393157,0.0019868608,0.00051967124,0.0002124815,163.57176,43.29223,248.20041,25.201145,0.8013595,58.4233,68.41376,50.278652,0.0015394323,96.691315,1.0430518,2.1387742,0.17009738,0.0
inf,431.96326,8.962617,1288.9657,6537.6655,254.63066,-447.4033,0.47482818,107.52079,0.3474285,0.36672416,0.49416864,0.068585835,0.0026103875,0.0003099484,0.0011007545,0.0002926216,-3.8431983e-05,186.37727,47.544846,241.48344,31.034143,0.8559453,64.23854,72.425606,44.64725,0.0041872696,82.786766,0.48722675,4.172036,0.18686189,0.0
0.04961752,195.49567,10.678958,1040.0295,43456.176,76.313965,15696.781,3.6819656,135.9693,0.32421443,0.36348617,0.5136469,0.06332209,0.0057466314,7.3088486e-05,0.00471206,-9.0103604e-05,0.00013478968,144.92825,55.289463,239.2443,23.21777,0.8927618,52.78552,55.43406,56.63916,0.0028449534,73.48217,1.4685079,3.7456439,0.09866749,0.0
0.059061766,152.90399,10.167926,1401.1431,-531.34796,46.25378,47781.883,1.6114438,104.94117,0.36275578,0.37355787,0.52198505,0.068536706,0.003965322,0.000120742334,0.0031628716,-0.0009104129,-1.4075185e-05,171.26044,35.147682,269.45963,33.118004,0.8550159,66.39594,54.392075,51.925182,0.0025896374,73.18692,1.1573911,8.733854,0.08721563,0.0
0.04869063,236.19646,9.764404,1109.0255,1884.0468,-75.31617,5295.6567,1.2089852,96.117645,0.40044487,0.4013353,0.4908227,0.067043275,0.0040555475,0.000213173,0.0032061732,0.002068736,-4.4612156e-05,140.72166,52.28607,243.17284,37.860672,0.8875323,62.444817,57.17823,62.309998,0.0030113838,65.89597,1.3285631,7.416363,0.27287257,0.0
0.9994602,391.0821,10.869586,1265.6423,23990.955,94.46485,34415.965,2.5808775,107.208275,0.34417668,0.22580838,0.54914033,0.06386488,0.0057940255,0.00015563202,0.0031899526,-0.0017078983,0.00028608603,193.01234,61.61943,259.60712,32.45799,0.82132167,64.206505,54.070267,37.25898,0.003658698,76.35319,-0.19923285,5.428288,0.20416296,0.0
0.9980099,537.8342,9.638085,1037.1226,32734.645,188.40579,31235.582,1.2895726,107.49715,0.39949328,0.34783715,0.5073507,0.07375816,0.0059024044,0.00014606703,0.0022499848,-0.0006063061,0.00025608073,165.47641,58.35957,250.56107,44.022533,0.8615645,63.949318,57.110764,44.84943,0.0031149294,86.19196,1.0976048,5.34159,0.14896564,0.0
0.4157937,264.62946,10.10155,1192.7722,22351.852,155.1197,10211.148,1.7704371,104.06144,0.39114413,0.3636735,0.49079242,0.0598716,0.0050765043,0.00023692241,0.00320677,0.0006527923,0.00011743512,156.95305,36.858765,267.91153,23.475473,0.8785224,64.41388,50.43709,60.228474,0.0019746218,91.56532,0.9796738,4.785794,-0.021778777,0.0
inf,595.3121,8.807618,1417.7902,10009.467,151.13121,22387.38,0.7248261,125.70299,0.36831346,0.33778137,0.50972164,0.08102785,0.0032008525,0.00017131357,0.0035289477,-0.00087272865,-0.00015951555,160.30516,46.65411,286.96954,17.478424,0.92840934,64.56543,60.887592,48.21049,0.00096294243,82.67472,0.7289951,6.325336,0.106233455,0.0
0.9978849,538.9432,9.82471,1406.6227,30631.5,-255.09012,18250.504,1.5627518,112.45713,0.263736,0.36302465,0.40977535,0.05892574,0.0048410674,0.00012815864,0.0052340785,0.0006077476,-4.5894878e-05,169.81424,28.172388,284.8958,0.6736164,0.91430205,57.125793,64.12618,64.30278,0.002565715,75.72714,0.3610988,3.9452987,0.10243465,0.0
0.5242215,282.16193,10.034955,877.2948,3919.2542,-43.245045,7017.825,1.632752,122.91083,0.3621433,0.34549,0.5339889,0.070170596,0.004460327,0.0002720338,0.0044825724,-7.516367e-05,4.179679e-05,189.37961,35.445896,220.92314,44.09775,0.8361869,69.18545,48.633152,29.560518,0.0024839446,69.42216,0.8494104,5.8793955,0.10382075,0.0
0.63914585,566.53046,9.877846,1070.1406,44983.434,64.91966,18181.09,1.6943889,104.85841,0.36755025,0.42181846,0.45243046,0.06329569,0.0046966583,8.9903624e-05,0.0034395535,0.0014857397,0.00019017524,175.25261,30.487326,238.32382,41.932068,0.88471836,46.126072,61.49783,48.111286,0.0033862721,86.86088,1.1359488,5.1786633,0.078158826,0.0
0.34544793,53.69923,10.518246,1360.301,25921.117,53.00872,20456.053,1.6082008,116.245995,0.358802,0.3338286,0.492838,0.07224891,0.0030508398,0.000236323,0.002976224,0.00018622218,4.339718e-05,165.97623,48.0186,247.831,28.690826,0.87551975,61.68337,71.31928,52.07639,0.0026622354,93.15243,0.26739162,4.9906,0.04646723,0.0
0.002006752,472.51288,9.817395,812.434,16703.643,-270.3483,21473.43,2.0748012,114.73171,0.4009057,0.37280992,0.46647087,0.06251931,0.0033357395,6.849767e-05,0.0039355075,-0.00044419838,-4.358777e-06,160.04324,26.438696,245.0369,23.252457,0.81135136,62.315907,62.492302,67.16618,0.0034242242,74.32441,0.8777694,4.673352,-0.05287012,0.0
inf,87.223755,11.098979,1217.1587,22782.873,-200.2708,13752.934,0.6349335,118.36423,0.27904052,0.38012728,0.53079736,0.069949105,0.0017512725,0.00016497311,0.005826974,0.00018828553,-7.468355e-05,166.90988,52.074104,248.19621,20.338879,0.910048,56.491585,60.96998,39.305954,0.0021954665,91.95215,0.9083239,3.5328193,0.21523684,0.0
0.67214,438.88126,11.430353,1340.8944,27717.303,71.73446,26729.04,1.6863434,111.929016,0.34091735,0.32104966,0.57214105,0.07232899,0.0032869845,0.00019407387,0.004556416,0.0010430771,8.183181e-06,159.77788,30.193205,259.19208,38.385418,0.8298573,61.299736,42.694252,44.5678,0.0033273208,99.84151,1.7414113,5.5527205,0.27698237,0.0
inf,490.9015,9.038075,1167.3926,2186.5215,-388.25177,28058.912,0.89263,133.37811,0.3529723,0.29216686,0.5518712,0.08039551,0.0031630597,8.776659e-05,0.0038588415,-0.00012926807,-4.6784353e-05,183.49397,43.472973,239.43767,45.31413,0.8382653,56.37477,68.407906,48.242653,0.0022218805,72.041466,0.33486512,5.821348,0.2679553,0.0
0.4000303,330.53198,10.227996,1143.426,32101.47,15.8956585,26264.953,1.8613657,122.50542,0.41599002,0.3770572,0.52317953,0.067536905,0.0037219569,0.0002434646,0.003346326,0.0012331399,5.3189895e-05,180.2793,30.785576,207.54597,44.381107,0.86035067,59.057693,61.508327,55.211365,0.0023395377,86.47234,1.2986428,3.9449065,0.0064682835,0.0
0.9742071,460.7154,9.960845,1396.233,23934.48,-421.05853,27501.568,2.8165157,102.77393,0.30359998,0.4166256,0.50772375,0.083216615,0.0052659092,0.00025455948,0.0019732045,-0.00018283329,0.00014037683,156.83331,51.531223,258.9014,34.664406,0.9263933,60.72593,58.037903,43.1273,0.0029368924,68.069046,1.1652695,3.9155412,0.13040276,0.0
0.6440111,162.88824,10.218288,1458.5638,24040.1,-165.93706,34037.953,1.4771166,124.76431,0.35050038,0.27220193,0.41194823,0.070533246,0.004385442,0.00035262803,0.0033274984,4.7957717e-05,2.7285316e-05,203.55392,43.634205,223.04659,44.28129,0.804825,52.025806,61.45521,58.564545,0.004946712,88.87167,0.8162644,7.488316,0.1198143,0.0
inf,356.6017,9.911239,1240.1519,12535.316,163.3206,31632.482,0.6312689,116.67999,0.3421234,0.3222316,0.48008096,0.060313974,0.0036412587,0.0003109561,0.0033379688,-0.0012551164,0.00023065433,187.98788,37.937157,236.4818,38.199593,0.8942699,55.51952,65.76804,46.43858,0.003315717,82.089966,0.3878815,6.4555283,0.28853336,0.0
0.9603434,439.75638,10.404679,1448.3818,41004.016,-262.52988,35532.87,2.2794764,119.39116,0.41569957,0.32675502,0.47820026,0.06647614,0.005271708,0.00011742615,0.0019814628,-0.000551544,0.00015689195,182.13368,48.039734,246.94963,20.65863,0.7945254,57.78376,61.987606,52.146626,0.002792367,83.18607,1.3534923,4.7737174,0.00665122,0.0
0.18922345,577.1406,10.87122,1050.9198,19252.115,-97.79568,30009.49,2.2149224,114.527885,0.33588812,0.32031968,0.51169777,0.06922843,0.005306481,7.618859e-05,0.0022149265,0.0008534321,8.439855e-05,195.34293,43.971058,243.7943,29.546368,0.93984383,55.66587,60.53323,49.38602,0.0020395636,86.643814,1.6764973,8.552846,-0.10530865,0.0
0.53371036,654.218,10.979935,997.0682,15591.13,211.64403,27669.875,1.2974733,113.699394,0.425843,0.37143752,0.5402831,0.072299644,0.004134669,0.00045915943,0.0014110098,-0.00063309196,0.0001215636,189.34084,32.652843,257.5361,14.008973,0.7963332,58.02685,52.482494,57.641853,0.0030079293,78.43481,2.6487184,5.5280094,0.055822697,0.0
