min_ref_nir,max_ref_nir,mean_ref_nir,median_ref_nir,std_ref_nir,2.5pct_ref_nir,97.5pct_ref_nir,5pct_ref_nir,95pct_ref_nir,year,doy,hour
0.1326,0.3987,0.2481406593406593,0.2585,0.07365004154115608,0.133325,0.3666875,0.13515,0.35609999999999997,2004.0,148.0,10.0
0.1326,0.4014,0.24538754578754593,0.255,0.07312590719658521,0.1332625,0.3672,0.1351,0.35545000000000004,2004.0,148.0,11.0
0.1326,0.4026,0.24429047619047622,0.2528,0.07294423093406227,0.1332625,0.3675125,0.1351,0.35507500000000003,2004.0,148.0,12.0
0.1326,0.4023,0.244614468864469,0.25334999999999996,0.07299030796155669,0.1332625,0.3675125,0.1351,0.3553,2004.0,148.0,13.0
0.1326,0.4001,0.2463950549450548,0.25644999999999996,0.0733032609591462,0.133325,0.367,0.1351,0.3559,2004.0,148.0,14.0
0.1326,0.3975,0.25010054945054916,0.26134999999999997,0.07406258734161428,0.133325,0.3666875,0.135325,0.356525,2004.0,148.0,15.0
0.1326,0.3948,0.2562761904761905,0.2704,0.07533444757678544,0.1333625,0.3687125,0.13555,0.35855,2004.0,148.0,16.0
0.1326,0.3936,0.2655503663003663,0.2847,0.07694348557443081,0.1334625,0.37525000000000003,0.1361,0.362825,2004.0,148.0,17.0
0.1326,0.3987,0.2783412087912087,0.30455,0.07813072159219953,0.1338625,0.37851250000000003,0.137525,0.3706,2004.0,148.0,18.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,21.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,148.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,149.0,6.0
0.1326,0.3953,0.2746347985347986,0.29774999999999996,0.0772318864940332,0.1339625,0.3761875,0.1375,0.3674,2004.0,149.0,7.0
0.1326,0.3938,0.26362912087912066,0.28145,0.07592832360015805,0.1337625,0.3732375,0.1365,0.3608,2004.0,149.0,8.0
0.1326,0.396,0.2558719780219782,0.27075,0.07456710691391642,0.13362500000000002,0.36807500000000004,0.136025,0.35815,2004.0,149.0,9.0
0.1326,0.3987,0.2508793040293041,0.26425,0.07361700860678864,0.1334625,0.36665000000000003,0.135625,0.3568,2004.0,149.0,10.0
0.1326,0.4014,0.24812344322344318,0.25839999999999996,0.07314224346902472,0.1334625,0.3672625,0.1356,0.35635,2004.0,149.0,11.0
